"","EH_ID","dpi","labels","weight","weight_dpi0","relative_weight","feces_weight","mouse_strain","infection_history","primary","challenge","strain","sex","experiment"
"1","LM_0368",0,"E10aJRO",21.51,21.51,100,NA,"SCHUNT",NA,NA,NA,NA,NA,"E10"
"2","LM_0368",1,"E10aSLC",20.23,21.51,94.0492794049279,0.87,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"3","LM_0368",2,"E10aKVT",20.99,21.51,97.582519758252,1.17,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"4","LM_0368",3,"E10aYQD",20.86,21.51,96.978149697815,1.29,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"5","LM_0368",4,"E10aOZK",19.59,21.51,91.0739191073919,1.21,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"6","LM_0368",5,"E10aZGP",18.37,21.51,85.4021385402139,0.59,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"7","LM_0368",6,"E10aDFW",19.34,21.51,89.9116689911669,0.77,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"8","LM_0368",7,"E10aYFC",19.89,21.51,92.4686192468619,0.94,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"9","LM_0368",8,"E10aBWZ",20.39,21.51,94.793119479312,1.24,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"10","LM_0368",9,"E10aPMN",20.57,21.51,95.629939562994,1.22,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"11","LM_0368",10,"E10aJXJ",20.54,21.51,95.4904695490469,1.13,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"12","LM_0368",11,"E10aYOK",20.99,21.51,97.582519758252,1.65,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"13","LM_0369",0,"E10aXZT",19.22,19.22,100,NA,"SCHUNT",NA,NA,NA,NA,NA,"E10"
"14","LM_0369",1,"E10aSZL",18.56,19.22,96.5660770031218,2.13,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"15","LM_0369",2,"E10aQJO",18.73,19.22,97.4505723204995,1.56,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"16","LM_0369",3,"E10aZXG",18.06,19.22,93.9646201873049,2.3,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"17","LM_0369",4,"E10aEDH",18.49,19.22,96.2018730489074,1.82,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"18","LM_0369",5,"E10aKSO",17.85,19.22,92.8720083246618,1.63,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"19","LM_0369",6,"E10aBAM",16.67,19.22,86.732570239334,1.22,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"20","LM_0369",7,"E10aVLS",17.68,19.22,91.9875130072841,1.88,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"21","LM_0369",8,"E10aQBG",17.82,19.22,92.7159209157128,1.74,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"22","LM_0369",9,"E10aYKG",17.37,19.22,90.3746097814776,1.93,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"23","LM_0369",10,"E10aDQH",17.54,19.22,91.2591050988554,2.2,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"24","LM_0369",11,"E10aNKZ",17.19,19.22,89.4380853277836,1.41,"SCHUNT","E64:E64","E64",NA,"SCHUNT",NA,"E10"
"25","LM_0370",0,"E10aWJG",16.25,16.25,100,NA,"PWD",NA,NA,NA,NA,NA,"E10"
"26","LM_0370",1,"E10aXTF",16.49,16.25,101.476923076923,1,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"27","LM_0370",2,"E10aNJY",16.47,16.25,101.353846153846,0.98,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"28","LM_0370",3,"E10aZAD",16.62,16.25,102.276923076923,1.09,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"29","LM_0370",4,"E10aAEM",15.6,16.25,96,1.29,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"30","LM_0370",5,"E10aCNW",15.17,16.25,93.3538461538462,1.27,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"31","LM_0370",6,"E10aGSN",16.11,16.25,99.1384615384615,1.24,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"32","LM_0370",7,"E10aRMO",16.71,16.25,102.830769230769,1.7,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"33","LM_0370",8,"E10aVIV",17.26,16.25,106.215384615385,1.49,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"34","LM_0370",9,"E10aWQA",17.93,16.25,110.338461538462,1.44,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"35","LM_0370",10,"E10aBRU",17.78,16.25,109.415384615385,1.01,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"36","LM_0370",11,"E10aAYM",17.38,16.25,106.953846153846,1.22,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"37","LM_0371",0,"E10aRIP",16.15,16.15,100,NA,"PWD",NA,NA,NA,NA,NA,"E10"
"38","LM_0371",1,"E10aOOZ",15.89,16.15,98.390092879257,0.94,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"39","LM_0371",2,"E10aQWZ",14.9,16.15,92.2600619195046,1.2,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"40","LM_0371",3,"E10aTIK",15.31,16.15,94.7987616099071,1.38,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"41","LM_0371",4,"E10aGNT",13.89,16.15,86.0061919504644,1.2,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"42","LM_0371",5,"E10aKBG",12.62,16.15,78.1424148606811,0.2,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"43","LM_0371",6,"E10aBRN",NA,16.15,NA,NA,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"44","LM_0371",7,"E10aNMG",NA,16.15,NA,NA,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"45","LM_0371",8,"E10aJIT",NA,16.15,NA,NA,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"46","LM_0371",9,"E10aOTB",NA,16.15,NA,NA,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"47","LM_0371",10,"E10aYFE.1",NA,16.15,NA,NA,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"48","LM_0371",11,"E10aWGZ",NA,16.15,NA,NA,"PWD","E64:E64","E64",NA,"PWD",NA,"E10"
"49","LM_0372",0,"E10aFRH",22.87,22.87,100,NA,"SCHUNT",NA,NA,NA,NA,NA,"E10"
"50","LM_0372",1,"E10aUZM",22.88,22.87,100.04372540446,1.27,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"51","LM_0372",2,"E10aZIH",23.07,22.87,100.8745080892,1.42,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"52","LM_0372",3,"E10aDMH",21.19,22.87,92.6541320507215,1.15,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"53","LM_0372",4,"E10aBKA",20.32,22.87,88.8500218627022,1.21,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"54","LM_0372",5,"E10aFZA",19.75,22.87,86.3576738084827,1.17,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"55","LM_0372",6,"E10aCBO",20.42,22.87,89.2872759073022,1.04,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"56","LM_0372",7,"E10aWMB",20.89,22.87,91.3423699169217,1.42,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"57","LM_0372",8,"E10aAHH",20.55,22.87,89.855706165282,1.53,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"58","LM_0372",9,"E10aCGR",21.28,22.87,93.0476606908614,1.54,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"59","LM_0372",10,"E10aAAX",21.18,22.87,92.6104066462615,1.42,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"60","LM_0372",11,"E10aTFM",20.99,22.87,91.7796239615216,1.58,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"61","LM_0373",0,"E10aOLO",25.04,25.04,100,NA,"SCHUNT",NA,NA,NA,NA,NA,"E10"
"62","LM_0373",1,"E10aSTP",24.47,25.04,97.723642172524,2.87,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"63","LM_0373",2,"E10aCZQ",24.4,25.04,97.444089456869,1.32,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"64","LM_0373",3,"E10aIVO",23.39,25.04,93.4105431309904,1.39,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"65","LM_0373",4,"E10aQUT",22.78,25.04,90.9744408945687,2.17,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"66","LM_0373",5,"E10aBXR",22.55,25.04,90.055910543131,0.92,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"67","LM_0373",6,"E10aGYP",22.21,25.04,88.6980830670927,1.43,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"68","LM_0373",7,"E10aIMN",22.12,25.04,88.3386581469649,1.41,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"69","LM_0373",8,"E10aEJZ",22.63,25.04,90.3753993610224,2.34,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"70","LM_0373",9,"E10aIMD",23.22,25.04,92.7316293929712,1.82,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"71","LM_0373",10,"E10aWQO.1",22.99,25.04,91.8130990415336,1.64,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"72","LM_0373",11,"E10aAXX",23.24,25.04,92.8115015974441,1.94,"SCHUNT","E64:E88","E64",NA,"SCHUNT",NA,"E10"
"73","LM_0374",0,"E10aLTC",17.27,17.27,100,NA,"PWD",NA,NA,NA,NA,NA,"E10"
"74","LM_0374",1,"E10aUGI",16.52,17.27,95.6572090330052,0.91,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"75","LM_0374",2,"E10aCBY",16.2,17.27,93.8042848870874,0.64,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"76","LM_0374",3,"E10aYRA",15.88,17.27,91.9513607411697,0.86,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"77","LM_0374",4,"E10aVXQ",14.91,17.27,86.3346844238564,1,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"78","LM_0374",5,"E10aMFO",14.28,17.27,82.6867400115808,0.83,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"79","LM_0374",6,"E10aHRM",12.59,17.27,72.9009843659525,0.44,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"80","LM_0374",7,"E10aPKZ",NA,17.27,NA,NA,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"81","LM_0374",8,"E10aJCW",NA,17.27,NA,NA,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"82","LM_0374",9,"E10aFZY",NA,17.27,NA,NA,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"83","LM_0374",10,"E10aGAW",NA,17.27,NA,NA,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"84","LM_0374",11,"E10aTSW",NA,17.27,NA,NA,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"85","LM_0375",0,"E10aJGM",15.05,15.05,100,NA,"PWD",NA,NA,NA,NA,NA,"E10"
"86","LM_0375",1,"E10aVMB",14.35,15.05,95.3488372093023,0.51,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"87","LM_0375",2,"E10aMFI",14.63,15.05,97.2093023255814,0.61,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"88","LM_0375",3,"E10aKZX",14.54,15.05,96.6112956810631,1.2,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"89","LM_0375",4,"E10aFHY",12.78,15.05,84.9169435215947,2.05,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"90","LM_0375",5,"E10aLEJ",12.66,15.05,84.1196013289036,1,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"91","LM_0375",6,"E10aZQX",12.87,15.05,85.5149501661129,1.82,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"92","LM_0375",7,"E10aFTF",14.36,15.05,95.4152823920266,1.59,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"93","LM_0375",8,"E10aLFS",15.22,15.05,101.129568106312,1.84,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"94","LM_0375",9,"E10aGMG",14.95,15.05,99.3355481727575,1.77,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"95","LM_0375",10,"E10aCLD",15.42,15.05,102.458471760797,1.46,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"96","LM_0375",11,"E10aQHA",15.24,15.05,101.262458471761,1.34,"PWD","E64:E88","E64",NA,"PWD",NA,"E10"
"97","LM_0376",0,"E10aPHJ",17.77,17.77,100,NA,"SCHUNT",NA,NA,NA,NA,NA,"E10"
"98","LM_0376",1,"E10aNED",17.27,17.77,97.1862689926843,1.28,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"99","LM_0376",2,"E10aERA",17.47,17.77,98.3117613956106,1.07,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"100","LM_0376",3,"E10aUTC",17.53,17.77,98.6494091164885,1.52,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"101","LM_0376",4,"E10aQSC",16.52,17.77,92.9656724817108,1.13,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"102","LM_0376",5,"E10aGCI",15.68,17.77,88.2386043894204,0.96,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"103","LM_0376",6,"E10aGFV",16.67,17.77,93.8097917839055,0.89,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"104","LM_0376",7,"E10aXZZ",16.26,17.77,91.5025323579066,1.17,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"105","LM_0376",8,"E10aMVN",16.31,17.77,91.7839054586382,1.11,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"106","LM_0376",9,"E10aOMR",16.47,17.77,92.6842993809792,0.88,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"107","LM_0376",10,"E10aKOV",16.73,17.77,94.1474395047834,1.12,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"108","LM_0376",11,"E10aYJX",16.87,17.77,94.9352841868318,1.11,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"109","LM_0377",0,"E10aFWR",18.02,18.02,100,NA,"SCHUNT",NA,NA,NA,NA,NA,"E10"
"110","LM_0377",1,"E10aWDE",17.98,18.02,99.7780244173141,1.09,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"111","LM_0377",2,"E10aDBR",17.16,18.02,95.2275249722531,1.07,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
