"EH_ID","delta","Eim_MC","experiment"
"LM_0227",-5.79,"pos","E57"
"LM_0228",-5.91,"pos","E57"
"LM_0229",-7.12,"neg","E57"
"LM_0231",-5.16,"pos","E57"
"LM_0232",-6.22,"pos","E57"
"LM_0233",-5.97,"pos","E57"
"LM_0234",-7.89,"pos","E57"
"LM_0235",-5.84,"pos","E57"
"LM_0236",-6.02,"pos","E57"
"LM_0238",-4.42,"pos","E57"
"LM_0239",-6.76,"pos","E57"
"LM_0240",-6.65,"pos","E57"
"LM_0247",-4.68,"pos","E57"
"LM_0248",-6.92,"pos","E57"
"LM_0249",-5.96,"pos","E57"
"LM_0251",-4.73,"pos","E57"
"LM_0254",-8.48,"neg","E57"
"LM_0255",-2.73,"pos","E57"
"LM_0256",-8.9,"neg","E57"
"LM_0257",-6.93,"pos","E57"
"LM_0258",-5.75,"pos","E57"
"LM_0259",-8,"neg","E57"
"LM_0260",-11.9,"neg","E57"
"LM_0261",-5.9,"neg","E57"
"LM_0262",-10.06,"neg","E57"
"LM_0263",-8.38,"neg","E57"
"LM_0264",-10.02,"neg","E57"
"LM_0265",-11.42,"neg","E57"
"LM_0265",-11.42,"neg","E57"
"LM_0266",-8.25,"neg","E57"
"LM_0268",-8.15,"neg","E57"
"LM_0269",-7.91,"pos","E57"
"LM_0270",-9.75,"neg","E57"
"LM_0271",-9.2,"neg","E57"
"LM_0272",-10.55,"neg","E57"
"LM_0273",-10.42,"neg","E57"
"LM_0275",4.14,"neg","E57"
"LM_0276",-10.61,"neg","E57"
"LM_0277",-10.39,"neg","E57"
"LM_0278",-10.99,"neg","E57"
"LM_0279",-9.18,"pos","E57"
"LM_0280",-7.12,"pos","E57"
"LM_0282",-12.69,"neg","E57"
"LM_0283",-10.57,"neg","E57"
"LM_0284",-6.19,"pos","E57"
"LM_0285",-3.11,"pos","E57"
"LM_0286",-9.21,"neg","E57"
"LM_0287",-6.34,"pos","E57"
"LM_0288",-8.79,"neg","E57"
"LM_0289",-9.18,"neg","E57"
"LM_0291",1.21,"pos","E57"
"LM_0292",-7.97,"neg","E57"
"LM_0293",-5.02,"neg","E57"
"LM_0294",11.61,"pos","E57"
